case,flow,source,source_zone,source_unstated,destination,destination_zone,destination_unstated,protocol,authentication,encryption,category,also_cites,finding
01,process:storefront-api>process:order-service>submit-order,process:storefront-api,boundary:storefront-dmz,UNSTATED,process:order-service,boundary:core-services,,gRPC,none; accepted by network position,unknown,information-disclosure,,"An attacker with access to the internal network reads order contents and shopper identifiers off the gRPC channel, whose encryption is unverified."
01,process:storefront-api>process:order-service>submit-order,process:storefront-api,boundary:storefront-dmz,UNSTATED,process:order-service,boundary:core-services,,gRPC,none; accepted by network position,unknown,elevation-of-privilege,process:order-service,"An attacker with any foothold in the storefront tier gains order-writing privilege in the core zone, because the order service grants it on network position alone."
02,entity:sensor-node>process:device-gateway>publish-readings,entity:sensor-node,boundary:field-network,UNSTATED,process:device-gateway,boundary:ingest-edge,UNSTATED,MQTT,"fleet-wide pre-shared key, shared by every device and never rotated",unknown,spoofing,entity:sensor-node,An attacker who extracts the fleet-wide pre-shared key from any one node publishes readings to the gateway as any other device in the fleet.
02,entity:sensor-node>process:device-gateway>publish-readings,entity:sensor-node,boundary:field-network,UNSTATED,process:device-gateway,boundary:ingest-edge,UNSTATED,MQTT,"fleet-wide pre-shared key, shared by every device and never rotated",unknown,tampering,store:telemetry-lake,An attacker holding the fleet key injects fabricated readings that the normalizer loads into the lake as genuine customer data.
02,entity:sensor-node>process:device-gateway>publish-readings,entity:sensor-node,boundary:field-network,UNSTATED,process:device-gateway,boundary:ingest-edge,UNSTATED,MQTT,"fleet-wide pre-shared key, shared by every device and never rotated",unknown,information-disclosure,,"An attacker on the path between a node and the gateway reads readings and the presented key, because transport encryption on the MQTT session is unverified."
02,entity:sensor-node>process:device-gateway>publish-readings,entity:sensor-node,boundary:field-network,UNSTATED,process:device-gateway,boundary:ingest-edge,UNSTATED,MQTT,"fleet-wide pre-shared key, shared by every device and never rotated",unknown,denial-of-service,process:device-gateway,An attacker floods the internet-exposed MQTT broker with connections until genuine nodes can no longer publish readings.
02,entity:sensor-node>store:firmware-bucket>poll-firmware,entity:sensor-node,boundary:field-network,UNSTATED,store:firmware-bucket,boundary:ingest-edge,UNSTATED,HTTPS,none; the bucket is public read,unknown,elevation-of-privilege,entity:sensor-node,"An attacker turns an unsigned firmware update into code execution on every node, escalating from bucket write access to control of the physical fleet."
02,entity:fleet-operator>store:telemetry-lake>query-dashboards,entity:fleet-operator,boundary:corporate-network,,store:telemetry-lake,boundary:analytics-core,UNSTATED,BigQuery API,company SSO,unknown,,,
02,process:telemetry-normalizer>store:pub-sub>pick-up-readings,process:telemetry-normalizer,boundary:analytics-core,,store:pub-sub,boundary:ingest-edge,UNSTATED,unknown,unknown,unknown,,,
03,entity:insurance-partner>store:landing-bucket>push-daily-extract,entity:insurance-partner,boundary:partner-network,UNSTATED,store:landing-bucket,boundary:landing-network,UNSTATED,SFTP,"static per-partner key issued at onboarding, never rotated",SSH transport (SFTP),spoofing,entity:insurance-partner,An attacker who obtains a partner's never-rotated static SFTP key uploads extracts as that partner.
04,entity:calling-service>process:inference-gateway>submit-inference-request,entity:calling-service,boundary:public-internet,,process:inference-gateway,boundary:serving-edge,UNSTATED,unknown,per-team API key in a header; operator reports never having expired a key,unknown,,entity:calling-service process:inference-gateway,"The per-team API key carries no claims, so this chapter does not apply to the gateway."
04,entity:calling-service>process:inference-gateway>submit-inference-request,entity:calling-service,boundary:public-internet,,process:inference-gateway,boundary:serving-edge,UNSTATED,unknown,per-team API key in a header; operator reports never having expired a key,unknown,,entity:calling-service,"The calling service authenticates to the inference gateway with a per-team API key that the operator has never expired, an unchanging credential on a backend link."
04,entity:calling-service>process:inference-gateway>submit-inference-request,entity:calling-service,boundary:public-internet,,process:inference-gateway,boundary:serving-edge,UNSTATED,unknown,per-team API key in a header; operator reports never having expired a key,unknown,spoofing,entity:calling-service,An attacker who obtains a never-expiring API key calls the inference gateway as that team indefinitely.
04,entity:calling-service>process:inference-gateway>submit-inference-request,entity:calling-service,boundary:public-internet,,process:inference-gateway,boundary:serving-edge,UNSTATED,unknown,per-team API key in a header; operator reports never having expired a key,unknown,denial-of-service,process:inference-gateway,A caller holding a valid key floods the gateway with inference requests and exhausts the shared GPU capacity behind it.
04,process:inference-gateway>process:model-server>forward-request,process:inference-gateway,boundary:serving-edge,UNSTATED,process:model-server,boundary:model-network,,unknown,none; accepted by network position,unknown,,process:inference-gateway process:model-server,The gateway to model server link states neither a protocol nor transport protection.
04,process:inference-gateway>process:model-server>forward-request,process:inference-gateway,boundary:serving-edge,UNSTATED,process:model-server,boundary:model-network,,unknown,none; accepted by network position,unknown,spoofing,process:model-server,"Any workload inside the model network submits inference requests posing as the gateway, which the model server accepts on network position alone."
06,entity:customer-support-staff>process:moderation-website>moderate-accounts,entity:customer-support-staff,boundary:corporate-network,,process:moderation-website,boundary:production-network,UNSTATED,unknown,unknown,unknown,,,
07,entity:developer>process:build-runner>manual-rebuild,entity:developer,boundary:corporate-network,UNSTATED,process:build-runner,boundary:build-environment,,unknown,unknown,unknown,repudiation,process:build-runner,"A build that reached the estate cannot be attributed to the developer who started it, because any developer can trigger a manual rebuild on an unreviewed path whose authentication is unverified."
07,entity:developer>process:build-runner>manual-rebuild,entity:developer,boundary:corporate-network,UNSTATED,process:build-runner,boundary:build-environment,,unknown,unknown,unknown,elevation-of-privilege,process:store-server,"Any developer turns code of their own choosing into the software running in 1,200 stores by triggering the manual rebuild, a path the source states requires no merge and receives no review."
08,entity:colleague>process:identity-broker>sign-in,entity:colleague,boundary:outside-corporate-network,UNSTATED,process:identity-broker,boundary:corporate-network,,unknown,unknown,unknown,,entity:colleague process:identity-broker,Colleagues sign in from their own devices at home and no flow states its transport.
08,entity:colleague>process:identity-broker>sign-in,entity:colleague,boundary:outside-corporate-network,UNSTATED,process:identity-broker,boundary:corporate-network,,unknown,unknown,unknown,spoofing,process:store-admin-console,"An attacker who obtains a colleague's token acts as that colleague for the rest of its twelve hours, because nothing calls back to the broker and there is no way to pull a token back."
08,entity:franchise-identity-provider>process:identity-broker>vouch-for-colleague,entity:franchise-identity-provider,boundary:franchise-partner,UNSTATED,process:identity-broker,boundary:corporate-network,,unknown,the broker accepts the provider's assertion as a sign-in; which colleagues the provider may vouch for is not written down,unknown,spoofing,entity:franchise-identity-provider,"The franchise identity provider vouches for someone who is not a franchise colleague and the broker signs them in as that person, since nothing records which colleagues it may vouch for."
08,entity:franchise-identity-provider>process:identity-broker>vouch-for-colleague,entity:franchise-identity-provider,boundary:franchise-partner,UNSTATED,process:identity-broker,boundary:corporate-network,,unknown,the broker accepts the provider's assertion as a sign-in; which colleagues the provider may vouch for is not written down,unknown,repudiation,store:audit-log,"A franchise sign-in cannot be attributed to a person, because the identity was asserted by a provider we do not run and whether the log covers that route at all is unverified."
08,entity:colleague>process:store-admin-console>change-prices-and-void,entity:colleague,boundary:outside-corporate-network,UNSTATED,process:store-admin-console,boundary:corporate-network,,unknown,"the token alone: its store-manager group decides, the colleague's own store is never checked, and nothing calls back to the broker to re-check them",unknown,,entity:colleague process:store-admin-console,The console reads the store-manager group from the token and never checks which store the holder belongs to.
08,entity:colleague>process:store-admin-console>change-prices-and-void,entity:colleague,boundary:outside-corporate-network,UNSTATED,process:store-admin-console,boundary:corporate-network,,unknown,"the token alone: its store-manager group decides, the colleague's own store is never checked, and nothing calls back to the broker to re-check them",unknown,repudiation,process:store-admin-console,"A price change or a void cannot be tied to the store it belongs to, because the console never establishes which store the token holder is from."
08,entity:colleague>process:store-admin-console>change-prices-and-void,entity:colleague,boundary:outside-corporate-network,UNSTATED,process:store-admin-console,boundary:corporate-network,,unknown,"the token alone: its store-manager group decides, the colleague's own store is never checked, and nothing calls back to the broker to re-check them",unknown,elevation-of-privilege,process:store-admin-console,"A colleague who is a store manager in one store changes prices and voids transactions in every store, because the console decides from the group alone and never checks which store they belong to."
08,process:identity-broker>entity:hr-system>nightly-group-pull,process:identity-broker,boundary:corporate-network,,entity:hr-system,boundary:outside-corporate-network,UNSTATED,unknown,unknown,unknown,,entity:hr-system process:identity-broker,"A leaver stops being a colleague on a nightly pull while their twelve-hour token stays usable, and nothing can end it early."
08,process:identity-broker>entity:hr-system>nightly-group-pull,process:identity-broker,boundary:corporate-network,,entity:hr-system,boundary:outside-corporate-network,UNSTATED,unknown,unknown,unknown,elevation-of-privilege,entity:colleague,"A leaver keeps their access until the nightly pull runs, and a token issued before it goes on working for twelve hours after that."
09,process:mobile-app>process:web-api>api-traffic,process:mobile-app,boundary:customer-device,,process:web-api,boundary:sokify-internal-systems,UNSTATED,HTTP,unknown,"none — the app talks to the web API over HTTP, not HTTPS",,process:mobile-app process:web-api,The mobile app reaches the web API over HTTP rather than HTTPS.
09,process:mobile-app>process:web-api>api-traffic,process:mobile-app,boundary:customer-device,,process:web-api,boundary:sokify-internal-systems,UNSTATED,HTTP,unknown,"none — the app talks to the web API over HTTP, not HTTPS",,process:mobile-app process:web-api,The web API serves customer records to the mobile app and nothing states which fields a response carries.
09,process:mobile-app>process:web-api>api-traffic,process:mobile-app,boundary:customer-device,,process:web-api,boundary:sokify-internal-systems,UNSTATED,HTTP,unknown,"none — the app talks to the web API over HTTP, not HTTPS",spoofing,process:web-api,"An attacker submits orders to the web API as if they came from the mobile app, since how the API authenticates callers is unverified."
09,process:mobile-app>process:web-api>api-traffic,process:mobile-app,boundary:customer-device,,process:web-api,boundary:sokify-internal-systems,UNSTATED,HTTP,unknown,"none — the app talks to the web API over HTTP, not HTTPS",tampering,,"An attacker on the network path alters order details in flight between the app and the web API, because that traffic runs over plain HTTP."
09,process:mobile-app>process:web-api>api-traffic,process:mobile-app,boundary:customer-device,,process:web-api,boundary:sokify-internal-systems,UNSTATED,HTTP,unknown,"none — the app talks to the web API over HTTP, not HTTPS",repudiation,process:web-api,"A customer denies placing an order and Sokify cannot show who submitted it, because how the API authenticates callers is unverified."
09,process:mobile-app>process:web-api>api-traffic,process:mobile-app,boundary:customer-device,,process:web-api,boundary:sokify-internal-systems,UNSTATED,HTTP,unknown,"none — the app talks to the web API over HTTP, not HTTPS",information-disclosure,,An attacker on the network path reads customer details out of the app's plain-HTTP traffic to the web API.
09,process:catalogue-spreadsheet>process:web-api>sql-statements,process:catalogue-spreadsheet,boundary:marketing-office,,process:web-api,boundary:sokify-internal-systems,UNSTATED,SQL statements over an unstated transport,unknown,unknown,,process:catalogue-spreadsheet process:web-api,A macro-bearing spreadsheet sends SQL statements to the web API over an unstated transport.
09,process:catalogue-spreadsheet>process:web-api>sql-statements,process:catalogue-spreadsheet,boundary:marketing-office,,process:web-api,boundary:sokify-internal-systems,UNSTATED,SQL statements over an unstated transport,unknown,unknown,spoofing,process:catalogue-spreadsheet,An attacker who obtains a copy of the catalogue spreadsheet sends SQL to the web API as the catalogue tool.
09,process:catalogue-spreadsheet>process:web-api>sql-statements,process:catalogue-spreadsheet,boundary:marketing-office,,process:web-api,boundary:sokify-internal-systems,UNSTATED,SQL statements over an unstated transport,unknown,unknown,tampering,process:web-api,An attacker drives the spreadsheet's macros to change catalogue prices through the web API.
09,process:catalogue-spreadsheet>process:web-api>sql-statements,process:catalogue-spreadsheet,boundary:marketing-office,,process:web-api,boundary:sokify-internal-systems,UNSTATED,SQL statements over an unstated transport,unknown,unknown,tampering,process:web-api,An attacker appends further SQL to the statements the macros send so the web API executes changes beyond prices and product copy.
09,process:catalogue-spreadsheet>process:web-api>sql-statements,process:catalogue-spreadsheet,boundary:marketing-office,,process:web-api,boundary:sokify-internal-systems,UNSTATED,SQL statements over an unstated transport,unknown,unknown,elevation-of-privilege,process:catalogue-spreadsheet process:web-api,"An attacker who reaches the marketing laptop gains a write path into the web API from the office zone, because the spreadsheet's macros speak SQL to it."
09,process:fax-gateway>entity:customer>confirmation-fax,process:fax-gateway,boundary:sokify-internal-systems,UNSTATED,entity:customer,boundary:customer-device,,fax,unknown,unknown,information-disclosure,process:fax-gateway,"The confirmation fax discloses a customer's name and address to whoever holds the dialled number, because nobody checks it arrived at the right place."
10,entity:reader>process:web-server>page-requests,entity:reader,boundary:public-internet,UNSTATED,process:web-server,boundary:hosted-network,,HTTPS,"sign-in exists for some readers; the mechanism, its strength and how sessions are handled are not stated",HTTPS,,entity:reader process:web-server,Sign-in exists for some readers and no cookie attribute is stated for the session it creates.
10,entity:reader>process:web-server>page-requests,entity:reader,boundary:public-internet,UNSTATED,process:web-server,boundary:hosted-network,,HTTPS,"sign-in exists for some readers; the mechanism, its strength and how sessions are handled are not stated",HTTPS,,entity:reader process:web-server,Nothing states how a reader session is represented or generated.
10,entity:reader>entity:cdn>asset-fetch,entity:reader,boundary:public-internet,UNSTATED,entity:cdn,boundary:cdn,UNSTATED,HTTP,unknown,none — readers fetch these over HTTP,,entity:cdn process:web-server,"Assets are fetched over plain HTTP, so no transport security header protects them."
10,entity:reader>entity:cdn>asset-fetch,entity:reader,boundary:public-internet,UNSTATED,entity:cdn,boundary:cdn,UNSTATED,HTTP,unknown,none — readers fetch these over HTTP,tampering,,"An attacker on the network path rewrites a stylesheet or script in flight before it reaches the reader, because assets are fetched over plain HTTP."
10,entity:reader>entity:cdn>asset-fetch,entity:reader,boundary:public-internet,UNSTATED,entity:cdn,boundary:cdn,UNSTATED,HTTP,unknown,none — readers fetch these over HTTP,elevation-of-privilege,store:cdn-bucket,An attacker who plants a script in the CDN bucket runs code in every reader's browser in the site's own context.
10,process:web-server>store:cdn-bucket>asset-publish,process:web-server,boundary:hosted-network,,store:cdn-bucket,boundary:cdn,UNSTATED,unknown,unknown,unknown,spoofing,store:cdn-bucket,"An attacker publishes assets into the CDN bucket as if they came from the web server, because how that push is authenticated is unverified."
10,entity:admin>store:mysql-database>direct-administration,entity:admin,boundary:public-internet,UNSTATED,store:mysql-database,boundary:hosted-network,,MySQL,unknown,"none — an unsecured MySQL connection, no TLS on it",spoofing,entity:admin,"An attacker holding the admin's database credentials connects to MySQL as the admin from anywhere on the internet, since there is no jump host in the way."
10,entity:admin>store:mysql-database>direct-administration,entity:admin,boundary:public-internet,UNSTATED,store:mysql-database,boundary:hosted-network,,MySQL,unknown,"none — an unsecured MySQL connection, no TLS on it",tampering,,"An attacker on the network path modifies the admin's statements in flight, because the connection carries no TLS."
10,entity:admin>store:mysql-database>direct-administration,entity:admin,boundary:public-internet,UNSTATED,store:mysql-database,boundary:hosted-network,,MySQL,unknown,"none — an unsecured MySQL connection, no TLS on it",repudiation,process:web-server,"Content is changed directly in the database and no CMS record shows who changed it, because that path bypasses the CMS entirely."
10,entity:admin>store:mysql-database>direct-administration,entity:admin,boundary:public-internet,UNSTATED,store:mysql-database,boundary:hosted-network,,MySQL,unknown,"none — an unsecured MySQL connection, no TLS on it",information-disclosure,,An attacker sniffing the admin's unsecured MySQL connection reads account and comment records in clear text.
10,entity:admin>store:mysql-database>direct-administration,entity:admin,boundary:public-internet,UNSTATED,store:mysql-database,boundary:hosted-network,,MySQL,unknown,"none — an unsecured MySQL connection, no TLS on it",elevation-of-privilege,store:mysql-database,An attacker who intercepts the admin's unencrypted session obtains database authority that bypasses every control the CMS applies.
11,entity:colleague>process:scheduling-web-app>view-shifts,entity:colleague,boundary:public-internet,UNSTATED,process:scheduling-web-app,boundary:internal-network,UNSTATED,unknown,unknown,unknown,,entity:colleague process:scheduling-web-app,Colleagues reach the web app from their own phones and the source says nobody documented whether any of it is encrypted.
11,entity:colleague>process:scheduling-web-app>view-shifts,entity:colleague,boundary:public-internet,UNSTATED,process:scheduling-web-app,boundary:internal-network,UNSTATED,unknown,unknown,unknown,spoofing,entity:colleague,"An attacker signs in to the scheduling web app as a colleague and reads that colleague's shifts and details, because how colleagues are authenticated is unverified."
11,entity:colleague>process:scheduling-web-app>view-shifts,entity:colleague,boundary:public-internet,UNSTATED,process:scheduling-web-app,boundary:internal-network,UNSTATED,unknown,unknown,unknown,elevation-of-privilege,process:scheduling-web-app,"A colleague uses the shared app to build or change a rota as though they were a store manager, because the separation between the two roles is unverified."
11,entity:store-manager>process:scheduling-web-app>build-rota,entity:store-manager,boundary:public-internet,UNSTATED,process:scheduling-web-app,boundary:internal-network,UNSTATED,unknown,unknown,unknown,spoofing,entity:store-manager,"An attacker signs in as a store manager and builds that store's rota, because how managers are authenticated is unverified."
11,entity:store-manager>process:scheduling-web-app>build-rota,entity:store-manager,boundary:public-internet,UNSTATED,process:scheduling-web-app,boundary:internal-network,UNSTATED,unknown,unknown,unknown,repudiation,process:scheduling-service,"A store manager denies having made a rota change that disadvantaged a colleague, and nothing in the model records who changed what."
11,entity:payroll-system>store:file-share>collect-payroll-export,entity:payroll-system,boundary:payroll-team-environment,UNSTATED,store:file-share,boundary:internal-network,,unknown,unknown,unknown,spoofing,store:file-share,"An attacker presents itself to the file share as the payroll system and collects the weekly payroll export, since how the share identifies a collector is unverified."
11,entity:payroll-system>store:file-share>collect-payroll-export,entity:payroll-system,boundary:payroll-team-environment,UNSTATED,store:file-share,boundary:internal-network,,unknown,unknown,unknown,tampering,store:file-share,"An attacker alters the payroll export while it sits on the file share, so the payroll system collects hours nobody worked."
12,entity:supplier>process:supplier-portal>upload-documents,entity:supplier,boundary:public-internet,UNSTATED,process:supplier-portal,boundary:vendor-platform,,unknown,username and password issued by the vendor,unknown,,entity:supplier process:supplier-portal,Suppliers upload insurance certificates and audit documents and nothing says the portal checks the file against an expected type.
12,entity:supplier>process:supplier-portal>upload-documents,entity:supplier,boundary:public-internet,UNSTATED,process:supplier-portal,boundary:vendor-platform,,unknown,username and password issued by the vendor,unknown,,entity:supplier process:supplier-portal,Suppliers upload to an externally hosted portal and no flow states its transport.
12,entity:supplier>process:supplier-portal>upload-documents,entity:supplier,boundary:public-internet,UNSTATED,process:supplier-portal,boundary:vendor-platform,,unknown,username and password issued by the vendor,unknown,spoofing,entity:supplier,An attacker who obtains a supplier's vendor-issued password signs in as that supplier and uploads paperwork in their name.
12,entity:supplier>process:supplier-portal>upload-documents,entity:supplier,boundary:public-internet,UNSTATED,process:supplier-portal,boundary:vendor-platform,,unknown,username and password issued by the vendor,unknown,elevation-of-privilege,process:supplier-portal,"A signed-in supplier reaches another supplier's compliance documents through the portal, because no separation between supplier tenants is stated."
12,entity:portal-vendor>store:landing-bucket>push-nightly-extract,entity:portal-vendor,boundary:vendor-platform,UNSTATED,store:landing-bucket,boundary:cloud-account,,unknown,unknown,unknown,spoofing,store:landing-bucket,"An attacker writes a file into the landing bucket while posing as the vendor's nightly push, since how the bucket identifies the writer is unverified."
12,entity:portal-vendor>store:landing-bucket>push-nightly-extract,entity:portal-vendor,boundary:vendor-platform,UNSTATED,store:landing-bucket,boundary:cloud-account,,unknown,unknown,unknown,tampering,,"An attacker on the path of the nightly push alters the extract in transit, because the source contradicts itself over whether that transfer is encrypted."
13,process:schedule-importer>entity:scheduling-partner>pull-schedule-feed,process:schedule-importer,boundary:corporate-network,,entity:scheduling-partner,boundary:scheduling-partner-platform,UNSTATED,SOAP over HTTPS,unknown,encrypted (HTTPS),,process:schedule-importer,The importer parses a partner's SOAP feed as XML and nothing states whether external entities are disabled.
13,process:schedule-importer>entity:scheduling-partner>pull-schedule-feed,process:schedule-importer,boundary:corporate-network,,entity:scheduling-partner,boundary:scheduling-partner-platform,UNSTATED,SOAP over HTTPS,unknown,encrypted (HTTPS),tampering,process:dispatch-api process:schedule-importer,An attacker returns an XML document to the hourly pull that plants work orders the partner never sent.
