n,arm,case,ref,lane,reference_claim,finding_title,finding_description,verdict
11,C1,01-payments-checkout,14,denial-of-service,An attacker floods the unauthenticated settlement webhook endpoint until the storefront API stops serving shoppers.,Unverified settlement-webhook authentication permits flooding the storefront API,"If `flow:entity:card-processor>process:storefront-api>settlement-webhook` accepts callbacks without effective authentication or request throttling, an internet attacker can send POST-shaped callback traffic directly to `process:storefront-api` across the public-to-DMZ boundary. Repeated requests consume the API's finite HTTP connection, worker, and request-processing capacity more cheaply for the attacker than the service can process them, starving legitimate shoppers using `flow:entity:shopper>process:storefront-api>place-order`. Second-order, shoppers cannot submit orders while the only internet-exposed component is saturated, so order capture through `flow:process:storefront-api>process:order-service>submit-order` is delayed or unavailable. This is conditional on the currently unknown authentication state of the settlement webhook, not an assertion that authentication is absent.",same
12,S2,01-payments-checkout,14,denial-of-service,An attacker floods the unauthenticated settlement webhook endpoint until the storefront API stops serving shoppers.,Unauthenticated settlement-webhook flooding may starve shopper requests,"`flow:entity:card-processor>process:storefront-api>settlement-webhook` crosses from `boundary:public-internet` into the shared `process:storefront-api`, but its authentication is explicitly `unknown`. If callback authentication resolves to absent or insufficient verification, an internet attacker can send inexpensive POSTs at the webhook and consume the Node/Cloud Run service's finite request-handling capacity. The same process also serves `flow:entity:shopper>process:storefront-api>place-order`, so the flood denies legitimate shoppers access to order submission even though they did not use the webhook. This is conditional on the unresolved authentication state and on unrecorded request-rate and concurrency controls; it does not assert that callback authentication is absent.",same
13,S1,05-cookbook-queue-webapp,7,information-disclosure,An attacker who compromises the internet-facing web application reads the queue credentials from its config store.,Web-application configuration storage may reveal queue credentials if unencrypted at rest,"`store:web-application-config` holds the message-queue credentials used by `process:web-application` and is tagged `credentials` and `secrets`, while `encryption_at_rest` is unknown. If its at-rest protection is absent or ineffective, an attacker obtaining the configuration storage media or an operational copy can recover the queue credentials without querying the web application. Those credentials can enable second-order access to `store:message-queue` and its business-critical jobs; this is conditional on resolving the unknown encryption state.",different
14,S2,02-iot-fleet-telemetry,3,tampering,"An attacker who can write to the firmware bucket plants a malicious image that every polling node installs, since image signature verification is unverified.",Offline alteration of firmware artifacts could plant malicious code on nodes,"`store:firmware-bucket` has `encryption_at_rest: unknown`, and nodes retrieve images through the boundary-crossing `flow:entity:sensor-node>store:firmware-bucket>poll-firmware`. If an attacker gains offline access to bucket media, snapshots, or a restored artifact and the unresolved at-rest protections do not prevent modification, they can plant a malicious firmware image. If the separately unresolved image-signature check is absent, `entity:sensor-node` installs the planted image as a normal update. Second-order, the altered firmware changes future node behavior and can manipulate the readings sent to `process:device-gateway` across the fleet. This is conditional on both the storage-integrity and signature-verification questions; public read alone is not asserted to grant write access.",same
15,S1,12-overclaiming-supplier-portal,8,information-disclosure,"An attacker who obtains a read grant on the landing bucket reads the whole supplier extract, which the runbook says arrives as a plain CSV; nothing records who holds that grant or how the bucket is protected at rest.",Landing-bucket copies may disclose nightly supplier extracts if at-rest encryption is absent,"`store:landing-bucket` holds the nightly supplier extract and is tagged `pii` and `business-critical-data`, while its `encryption_at_rest` is unknown. If storage encryption is not enabled, an attacker or over-privileged operator who obtains the bucket's storage-layer contents or an operational copy can read the extract without invoking `process:supplier-master-service`. Because the service loads the file as the source for `store:supplier-database`, one recovered object can disclose the supplier dataset before it is processed. This is conditional on the unknown at-rest setting; it does not conclude that the bucket is unencrypted.",different
16,C2,04-ml-inference-service,4,tampering,An attacker with model-network access writes to the unauthenticated Redis feature store and changes the features a decision is made on.,Model-network attacker can alter customer features if Redis has no equivalent write control,"The source states that `store:redis-feature-store` has no password, while authentication on `flow:process:model-server>store:redis-feature-store>read-features` is unverified. If Redis does not enforce an equivalent authenticated, least-privilege control for write commands, an attacker who first gains a position inside `boundary:model-network` can alter account-age or spend-band keys in `store:redis-feature-store`. `process:model-server` subsequently consumes those tampered features through `flow:process:model-server>store:redis-feature-store>read-features`, causing inferences to be made using attacker-selected customer data. This is conditional: the model does not establish whether Redis ACLs, client identity checks, or write restrictions compensate for the missing password.",same
17,C2,05-cookbook-queue-webapp,7,information-disclosure,An attacker who compromises the internet-facing web application reads the queue credentials from its config store.,Unverified at-rest encryption could expose both application configuration secrets,"`store:web-application-config` contains the web application's message-queue credentials and `store:worker-config` contains the worker's database credentials; both stores are tagged `credentials` and `secrets`, while `encryption_at_rest` is unknown. If either store or its operational copies is unencrypted at rest, an attacker who obtains storage-layer access, a decommissioned volume, or an exported operational copy can read the configuration directly without using the processes' normal read flows. The recovered queue or database credentials then enable attempts to reach `store:message-queue` or `store:database` respectively. This is conditional on the unverified at-rest encryption attributes, not an assertion that either store is unencrypted.",different
18,S1,05-cookbook-queue-webapp,10,denial-of-service,An attacker floods the queue with jobs until the worker cannot keep up and queued work stops completing.,Flooded job submissions can exhaust the shared message queue and stall background work,"An attacker starting at `entity:browser` can drive `process:web-application` through the boundary-crossing `flow:entity:browser>process:web-application>page-request` and cause job production on `flow:process:web-application>store:message-queue>enqueue-job`. If the inbound flow's unknown authentication permits anonymous or low-cost submission, or if queue admission and retention bounds are not sufficient for hostile volume, the attacker can fill or saturate `store:message-queue` faster than `process:background-worker-process` drains it. The queue is a shared dependency: `process:web-application` writes jobs while `process:background-worker-process` consumes them through `flow:process:background-worker-process>store:message-queue>consume-job`. Second-order, worker capacity is spent behind an attacker-created backlog, delaying legitimate jobs and therefore the worker's reads and writes to `store:database`, which holds application and log records.",same
19,S2,05-cookbook-queue-webapp,7,information-disclosure,An attacker who compromises the internet-facing web application reads the queue credentials from its config store.,Message-queue credentials may be recovered from unencrypted web configuration storage,"`store:web-application-config` holds credentials and secrets, including the message-queue credentials read by `process:web-application`, but its `encryption_at_rest` attribute is unknown. If that store is not encrypted at rest, an attacker who obtains its underlying storage or an operational copy can recover the queue credential without compromising the web application itself. Second-order, the recovered credential can enable access attempts against `store:message-queue`, exposing queued business-critical work. This is conditional on the unverified at-rest encryption state.",different
20,C1,12-overclaiming-supplier-portal,13,elevation-of-privilege,"A signed-in supplier reaches another supplier's compliance documents through the portal, if the portal does not authorize access per tenant, which the source does not state either way.",A supplier may access another supplier’s documents if the portal does not enforce per-document ownership,"An authenticated `entity:supplier` enters `process:supplier-portal` through `flow:entity:supplier>process:supplier-portal>upload-documents`, a decided crossing into the tenant boundary `boundary:vendor-platform`. The source says suppliers upload paperwork for their own staff, but the model does not state that `process:supplier-portal` binds each document operation to the verified supplier account. If that server-side ownership check is absent, a supplier who legitimately holds a vendor-issued username and password can request or overwrite another supplier's document by substituting its identifier, gaining authority beyond their own account. The affected portal subsequently writes documents to `store:document-store`, so the horizontal escalation reaches compliance records carrying `pii` and `business-critical-data` across the vendor platform.",same
21,S1,07-cicd-store-deploy,18,elevation-of-privilege,"An attacker who compromises the build runner controls what every store server runs, because the runner both writes the image and holds the token that names the release.",An unverified public dependency can gain code execution across the store estate,"An attacker able to substitute a dependency resolved from `entity:public-package-registry` can have `process:build-runner` accept it on `flow:process:build-runner>entity:public-package-registry>resolve-dependencies`, because the runner takes downloaded packages as given without signature verification. The resulting dependency is incorporated into the container image that the runner publishes; every `process:store-server` obtains that release through `flow:process:store-server>store:image-registry>pull-image` and restarts its till-software container. This turns an internet-side package-supply foothold into execution with the authority of the deployed till workload on the approximately 1,200-store estate. Second-order, the attacker controls the behavior of a business-critical workload throughout the fleet, rather than merely the dependency artifact in the public registry.",different
22,S1,05-cookbook-queue-webapp,3,tampering,An attacker who can write to the web application config changes the queue endpoint or credentials and redirects the application's work.,Offline tampering with configuration stores can change process behavior,"`store:web-application-config` and `store:worker-config` hold configuration plus the credentials used by their respective processes, while encryption at rest is unknown for both stores. If offline storage, snapshots, backups, or restore paths permit alteration and configuration is not verified before loading, an attacker with access to that storage can modify settings or replace stored credential values. On the next reads through `flow:process:web-application>store:web-application-config>read-configuration` and `flow:process:background-worker-process>store:worker-config>read-configuration`, `process:web-application` or `process:background-worker-process` can load attacker-chosen configuration, changing their future behavior and their connections to the queue or database. This is conditional on the unresolved at-rest protection and on whether load-time integrity verification exists, which the model does not state.",same
23,S2,01-payments-checkout,7,repudiation,"A shopper denies having placed an order, and the receipt archive cannot contradict them because receipts record only the order service as the writer.",Completed-order receipts may not attribute an order to the authenticated shopper,"A shopper using `flow:entity:shopper>process:storefront-api>place-order` can later deny placing an order if the original authenticated shopper identity is not preserved in dispute evidence. The described record in `store:receipt-archive`, written through `flow:process:order-service>store:receipt-archive>append-receipt`, identifies the order and `process:order-service` as writer; the input does not state that it carries the verified session subject, a session-to-user issuance record, or an immutable audit entry binding the order to `entity:shopper`. This is therefore conditional on those records not supplying that binding. If they do not, an ordinary shopper dispute over an order cannot be rebutted from the receipt, while `process:order-service` and the receipt archive show only the service-side conduit. Second-order, disputes over orders stored in `store:orders-db` lack conclusive evidence for the financial transaction.",same
24,C1,04-ml-inference-service,4,tampering,An attacker with model-network access writes to the unauthenticated Redis feature store and changes the features a decision is made on.,An internal attacker can alter customer features if Redis authentication is insufficient,"`store:redis-feature-store` holds per-customer account age and spend-band features, and `process:model-server` reads them through `flow:process:model-server>store:redis-feature-store>read-features`. The source states that Redis has no password, while the flow's authentication remains unverified. If no other authenticated access control protects the store, an attacker with a foothold in `boundary:model-network` can directly alter another customer's feature values in `store:redis-feature-store`. The model server then consumes the poisoned values as customer features and produces inference results based on attacker-modified financial and customer data. This is conditional on the unresolved authentication attribute and does not claim that network-only reachability is the only store control.",same
25,S1,12-overclaiming-supplier-portal,13,elevation-of-privilege,"A signed-in supplier reaches another supplier's compliance documents through the portal, if the portal does not authorize access per tenant, which the source does not state either way.",A supplier account could act on another supplier's documents if portal ownership checks are not enforced,"An authenticated `entity:supplier` reaches `process:supplier-portal` over `flow:entity:supplier>process:supplier-portal>upload-documents`, a decided crossing into the tenant boundary `boundary:vendor-platform`. The supplied authentication establishes that the caller is a vendor-issued account, but the model and source do not state a server-side check binding each requested document or upload target to that supplier. If that authorization check is absent or incomplete, a legitimate supplier can submit or replace compliance paperwork for another supplier, exercising authority beyond its own account. The action lands at `process:supplier-portal`; second-order, the portal writes uploaded documents to `store:document-store`, which holds `pii` and `business-critical-data`, so fraudulent paperwork can affect downstream category-manager review decisions.",same
26,C2,01-payments-checkout,7,repudiation,"A shopper denies having placed an order, and the receipt archive cannot contradict them because receipts record only the order service as the writer.",Completed-order receipts cannot identify the originating shopper or caller,"A shopper who disputes placing an order through `flow:entity:shopper>process:storefront-api>place-order` can point out that the receipt generated after `process:order-service` captures it identifies only the service that wrote it. The receipt evidence in `store:receipt-archive` records the order and `process:order-service`, not the authenticated shopper identity from the inbound session. This also leaves an actor able to reach the unauthenticated `flow:process:storefront-api>process:order-service>submit-order` able to submit an order that later appears attributable only to the service. The system can show that the service wrote a receipt, but cannot use that receipt to rebut denial by the originating shopper or other caller. Second-order, disputes over orders persisted in `store:orders-db` and associated financial transactions lack a record tying the action to an individual principal.",same
27,C1,02-iot-fleet-telemetry,6,information-disclosure,"An attacker who obtains a read grant on the telemetry lake reads customer site addresses and occupancy patterns, and nothing records who holds that grant or whether protection at rest would stop a raw copy.",An unencrypted telemetry-lake copy could disclose customer location and occupancy data,"`store:telemetry-lake` is classified confidential, tagged `pii` and `business-critical-data`, and has `encryption_at_rest: unknown`. If that unknown resolves to unencrypted storage or inadequately protected snapshots, exports, or other operational copies of this store, an attacker who obtains such a copy can read site addresses, occupancy patterns, and normalized readings without going through the SSO-protected dashboard flow. The resulting corpus enables physical and business intelligence about customer sites and remains disclosed even after the copied media is recovered.",different
28,S2,02-iot-fleet-telemetry,6,information-disclosure,"An attacker who obtains a read grant on the telemetry lake reads customer site addresses and occupancy patterns, and nothing records who holds that grant or whether protection at rest would stop a raw copy.",An unencrypted telemetry-lake copy may expose customer location and occupancy data,"`store:telemetry-lake` is confidential, contains `pii` and business-critical data, and has `encryption_at_rest: unknown`. If storage encryption is not enabled, an attacker who obtains a storage-layer copy, snapshot, backup, or export can read site addresses, occupancy patterns, and normalized readings without authenticating through the BigQuery dashboard path. That disclosure enables customer-site profiling and potentially physical targeting based on observed occupancy patterns.",different
29,S1,01-payments-checkout,3,tampering,"An attacker positioned in the storefront tier modifies order contents in flight on the gRPC channel, whose transport protection is unverified.",Conditional on-path modification of orders between the storefront and order service,"If `encryption_in_transit: unknown` on `flow:process:storefront-api>process:order-service>submit-order` resolves to no authenticated transport protection, an attacker with a position on the DMZ-to-core path can alter order contents, shopper identifiers, or shipping addresses before `process:order-service` captures them. The flow crosses from `boundary:storefront-dmz` to `boundary:core-services`, carries `pii` and `financial` data, and has no stated caller authentication. Second-order, `process:order-service` writes the altered records through `flow:process:order-service>store:orders-db>read-write-orders` into `store:orders-db`. This is conditional on the unverified transport attribute and does not claim that gRPC is plaintext.",same
30,S2,04-ml-inference-service,4,tampering,An attacker with model-network access writes to the unauthenticated Redis feature store and changes the features a decision is made on.,Internal attacker can alter customer features through unauthenticated Redis,"`store:redis-feature-store` holds per-customer account-age and spend-band features, and `process:model-server` reads them through `flow:process:model-server>store:redis-feature-store>read-features`. The source states Redis has no password, while the flow's authentication remains unknown; therefore, if there is no separate Redis authentication or authorization mechanism, an attacker with a foothold in `boundary:model-network` can directly alter feature values. `process:model-server` subsequently consumes the poisoned values during inference, causing attacker-controlled customer features to influence inference behavior. This does not assert that every Redis control is absent; it is conditional on the unresolved `authentication` attribute beyond the stated absence of a password.",same
31,S1,04-ml-inference-service,4,tampering,An attacker with model-network access writes to the unauthenticated Redis feature store and changes the features a decision is made on.,Unprotected Redis access may let an internal attacker alter customer features,"`store:redis-feature-store` holds confidential per-customer account-age and spend-band features, while `flow:process:model-server>store:redis-feature-store>read-features` has authentication recorded as unknown. The source states that Redis has no password but only establishes the absence of password authentication, not the absence of every network or platform control. If no other access control protects Redis, an attacker with a foothold in `boundary:model-network` can alter feature values in `store:redis-feature-store`. Second-order, `process:model-server` reads those values through `flow:process:model-server>store:redis-feature-store>read-features` and uses attacker-modified customer features in inference.",same
32,S1,05-cookbook-queue-webapp,6,information-disclosure,An attacker who compromises the background worker reads the database credentials from its config store.,Worker configuration storage may reveal database credentials if unencrypted at rest,"`store:worker-config` stores database credentials for `process:background-worker-process`, is tagged `credentials` and `secrets`, and has `encryption_at_rest` set to unknown. If the store lacks effective at-rest encryption, an attacker acquiring its media or an operational copy can recover the database credential outside the worker's intended configuration-read path. That credential may provide second-order read access to application and log records in `store:database`; this is conditional on the unknown at-rest protection and does not claim encryption is absent.",different
33,S1,06-cookbook-online-game,4,tampering,An attacker alters match statistics in the stats database to change rankings or rewards.,Unverified game-server database identity may permit direct alteration of match statistics,"`flow:process:game-server>store:stats-database>read-write-stats` has `operations: read-write`, carries match statistics, and has `authentication: unknown`. If the unknown means `store:stats-database` does not verify a least-privileged game-server identity, an attacker with a production-network foothold can connect or replay the write path and alter stored statistics as though they were submitted by `process:game-server`. Second-order, `process:game-server` itself is the recorded reader on this read-write flow, so later match processing can consume attacker-altered statistics. The model does not state validation, versioning, or integrity checks for these records.",same
34,C2,06-cookbook-online-game,4,tampering,An attacker alters match statistics in the stats database to change rankings or rewards.,Unauthorized callers could alter match statistics if the stats write path lacks verified authentication,"`flow:process:game-server>store:stats-database>read-write-stats` has `authentication: unknown` while granting `read-write` access to `store:stats-database`. If the unresolved authentication control permits an unauthorized or weakly authenticated caller, an attacker able to reach that write interface can rewrite match statistics rather than submitting results through the intended `process:game-server` workflow. This threat is conditional on the unknown authentication state. Second-order, game servers read and write the same statistics flow during and after matches, so corrupted statistics can be consumed as existing match data by `process:game-server` and affect later processing or reported outcomes.",same
35,S1,01-payments-checkout,14,denial-of-service,An attacker floods the unauthenticated settlement webhook endpoint until the storefront API stops serving shoppers.,Public request flooding can exhaust the shared storefront API,"An internet attacker can flood `process:storefront-api` through the boundary-crossing public entry points `flow:entity:shopper>process:storefront-api>place-order` and `flow:entity:card-processor>process:storefront-api>settlement-webhook`. The shopper path requires a session, but each submitted order is forwarded on `flow:process:storefront-api>process:order-service>submit-order`; sustained order-shaped traffic therefore consumes API request capacity and propagates work into the core order path. The webhook flow's `authentication` is `unknown`; if it does not authenticate callback senders, an attacker can submit callback-shaped requests directly without a shopper session. The model does not establish rate, request-size, concurrency, or load-shedding bounds, so the availability outcome is conditional on those unverified controls. Second-order, saturation prevents both shopper order submission and legitimate processor settlement callbacks, while order submissions already admitted cannot be forwarded to `process:order-service`.",same
36,S1,02-iot-fleet-telemetry,3,tampering,"An attacker who can write to the firmware bucket plants a malicious image that every polling node installs, since image signature verification is unverified.",Unsigned firmware can be planted through offline tampering of the firmware bucket,"`store:firmware-bucket` holds firmware images that `entity:sensor-node` retrieves through `flow:entity:sensor-node>store:firmware-bucket>poll-firmware` and installs. Its `encryption_at_rest` state is unknown, and the source leaves open whether nodes verify firmware signatures. If offline bucket media, a snapshot, or a restored copy can be modified and image signatures are not verified at install time, an attacker can plant a malicious firmware image in `store:firmware-bucket`. Every polling node may then install attacker-controlled code; second-order, compromised nodes can forge readings to `process:device-gateway` and gain durable presence across the deployed fleet.",same
37,S2,05-cookbook-queue-webapp,6,information-disclosure,An attacker who compromises the background worker reads the database credentials from its config store.,Database credentials may be recovered from unencrypted worker configuration storage,"`store:worker-config` holds the database credentials used by `process:background-worker-process`, but its `encryption_at_rest` attribute is unknown. If that configuration store lacks encryption at rest, an attacker obtaining its media or an operational copy can recover the database credential directly. Second-order, that credential can be used to seek access to `store:database` and disclose its application and log records. This is conditional on the unverified encryption-at-rest attribute; it is not an assertion that the store is unencrypted.",different
38,S2,06-cookbook-online-game,4,tampering,An attacker alters match statistics in the stats database to change rankings or rewards.,Unverified stats-database writes may falsify match statistics,"If `unknown:flow:process:game-server>store:stats-database>read-write-stats:authentication` resolves to absent or insufficient caller authentication and an attacker can reach the store write interface, the attacker alters match-statistics records through `flow:process:game-server>store:stats-database>read-write-stats`. This is a conditional direct-write threat, not an assertion that database access is currently public. The flow performs `read-write` operations, so altered statistics can subsequently be consumed by `process:game-server` through the same flow and treated as legitimate match data; the store's `business-critical-data` is therefore corrupted beyond the initial write.",same
39,C1,05-cookbook-queue-webapp,6,information-disclosure,An attacker who compromises the background worker reads the database credentials from its config store.,Configuration-store copies may disclose queue and database credentials at rest,"`store:web-application-config` and `store:worker-config` contain credentials and secrets, but each has `encryption_at_rest: unknown`. If either store or its operational copies are unencrypted at rest, an attacker who obtains underlying storage media, a snapshot, backup, or decommissioned copy can recover the respective queue or database credential without going through the application configuration-read flows. Those recovered credentials enable subsequent attempts to access `store:message-queue` or `store:database`; this is a conditional disclosure threat, not an assertion that either configuration store lacks encryption.",different
40,C2,05-cookbook-queue-webapp,3,tampering,An attacker who can write to the web application config changes the queue endpoint or credentials and redirects the application's work.,Offline tampering with web configuration could redirect queue behavior,"`store:web-application-config` holds credentials and settings used by `process:web-application` to access the message queue, while its `encryption_at_rest` state is unknown. If offline media, snapshots, or restores for this store are not protected against modification, an attacker who obtains that media can alter configuration or substitute queue credentials before the altered content is restored or loaded. `process:web-application` then consumes the altered settings through `flow:process:web-application>store:web-application-config>read-configuration` and uses them when enqueuing work through `flow:process:web-application>store:message-queue>enqueue-job`, changing future work-queue behavior. This is conditional on the unknown at-rest protection state; it does not assert that protection is absent.",same
