n,case,ref,lane,reference_claim,finding_id,finding_title,finding_description,verdict,note
17,04-ml-inference-service,9,information-disclosure,An attacker with model-network access reads per-customer account age and spend bands from the unauthenticated feature store.,I-03,An internal foothold may read confidential Redis customer features without a password,"`store:redis-feature-store` holds confidential `pii` and `financial` customer features, and `flow:process:model-server>store:redis-feature-store>read-features` has unverified authentication. The submitted description states that Redis has no password and is reachable within `boundary:model-network`; if no separate verified Redis authorization mechanism applies, an attacker who gains a model-network foothold can connect to the store and read account ages and spend bands directly rather than through `process:model-server`. The disclosed customer profiles can then be used to target customers and infer sensitive financial characteristics reflected in subsequent model-serving activity.",same,Both describe a model-network attacker directly reading account ages and spend bands from Redis without effective authentication or authorization.
18,04-ml-inference-service,12,denial-of-service,A caller holding a valid key floods the gateway with inference requests and exhausts the shared GPU capacity behind it.,D-01,API-key caller can flood GPU inference capacity through the public gateway,"A malicious or compromised calling team can use its valid API key to send high-rate inference requests over `flow:entity:calling-service>process:inference-gateway>submit-inference-request` from `boundary:public-internet`. Each request received by `process:inference-gateway` is forwarded on `flow:process:inference-gateway>process:model-server>forward-request` to `process:model-server`, where GPU-backed model execution consumes substantially more defender capacity than issuing a request costs the caller. Request-size limits, per-team rate/concurrency limits, inference-cost budgets, and load-shedding behavior are not stated, so this threat is conditional on those controls not bounding the path. Sustained requests can exhaust model-server GPU/worker capacity and deny inference to legitimate product teams; the gateway also records each request and response through `flow:process:inference-gateway>store:inference-log>write-request-log`, increasing downstream logging work during the flood.",same,Both describe a valid-key caller flooding the gateway and exhausting the shared GPU inference capacity behind it.
19,05-cookbook-queue-webapp,1,spoofing,"An attacker who reaches the queue enqueues jobs as if they came from the web application, since queue authentication is unverified.",S-01,Web-tier foothold can impersonate the web application to enqueue jobs if queue authentication is absent,"`flow:process:web-application>store:message-queue>enqueue-job` crosses from the web tier into the backend tier, but its `authentication` attribute is unknown. If that unknown resolves to no verified workload identity, an attacker who gains a foothold able to originate requests in `boundary:web-tier` can impersonate `process:web-application` to `store:message-queue` and enqueue jobs as though they came from the application. Second-order: `process:background-worker-process` consumes queued jobs and reads and writes `store:database`, so forged jobs can cause the worker to act on attacker-supplied work against business-critical application records. This draft is conditional on the unknown authentication state; it does not assert that queue authentication is absent.",same,Both describe impersonating the web application to enqueue jobs if the queue does not verify the submitting workload.
20,05-cookbook-queue-webapp,6,information-disclosure,An attacker who compromises the background worker reads the database credentials from its config store.,I-04,Unverified at-rest protection could expose worker database credentials,"`store:worker-config` holds the background worker's database `credentials` and `secrets`, while its `encryption_at_rest` attribute is unknown. If this store lacks encryption at rest, an attacker obtaining the underlying storage layer can recover the database credential directly, bypassing `process:background-worker-process`. The recovered credential can be used to attempt access to `store:database` through `flow:process:background-worker-process>store:database>read-write-records`, exposing application records and log records. This finding is conditional on the unknown at-rest encryption state, not an assertion that the store is cleartext.",different,The reference recovers credentials through a compromised worker's config access; the draft recovers them from underlying storage by exploiting absent encryption at rest.
21,05-cookbook-queue-webapp,7,information-disclosure,An attacker who compromises the internet-facing web application reads the queue credentials from its config store.,I-03,Unverified at-rest protection could expose web application queue credentials,"`store:web-application-config` holds the web application's message-queue `credentials` and `secrets`, but its `encryption_at_rest` value is unknown. If the store is not encrypted at rest, an attacker who obtains its underlying storage media or an operational copy can recover the queue credential without using `process:web-application` or its normal configuration read path. That credential can subsequently be presented to `store:message-queue`, potentially exposing queued job messages or permitting actions as the web application. This threat is conditional on resolving `encryption_at_rest`; it does not assert that the config store is unencrypted.",different,The reference recovers queue credentials through a compromised web application's config access; the draft recovers them from underlying storage without compromising the application.
22,06-cookbook-online-game,0,spoofing,"An attacker connects to the exposed lobby port as another player, because how the lobby authenticates a client is unverified.",S-01,Unverified matchmaking access may let an attacker pose as a player,"`flow:process:game-client>process:lobby>matchmaking` crosses from the player-controlled `boundary:player-local-machine` into `boundary:production-network`, but its `authentication` is unknown. If the lobby does not verify a player or client identity on this flow, an attacker running a modified client from the player zone can send matchmaking requests to `process:lobby` while posing as a player. The attacker could obtain match assignments or cause the lobby to form matches under the false identity. Second-order: `process:lobby` uses `flow:process:lobby>store:player-database>read-players` to read player records while forming matches, so the spoofed identity influences access to account-backed matchmaking state. This is conditional on the undocumented authentication attribute, not an assertion that authentication is absent.",same,Both describe impersonating a player to the lobby if matchmaking authentication does not verify the claimed identity.
23,06-cookbook-online-game,1,spoofing,"An attacker connects directly to a game server on its exposed port, bypassing the lobby, as a player who was never assigned to that match.",S-02,Unverified gameplay connections may let an attacker act as another player,"`flow:process:game-client>process:game-server>gameplay-traffic` crosses from the player-controlled `boundary:player-local-machine` to the internet-facing `process:game-server`, with `authentication: unknown`. If the game server does not authenticate and bind the connection to the assigned player identity, an attacker operating a modified client can connect over this flow and submit gameplay actions while posing as a legitimate match participant. Second-order: `process:game-server` records match statistics through `flow:process:game-server>store:stats-database>read-write-stats` and writes match outcomes and player progression through `flow:process:game-server>store:player-database>update-players`; successful impersonation can therefore cause account-linked outcomes and business-critical game records to be attributed to the victim. This is conditional on the undocumented authentication attribute, not a claim that the game-server flow is unauthenticated.",same,"The draft explicitly describes direct gameplay connections not bound to the assigned player identity, allowing an attacker to pose as an assigned match participant."
24,06-cookbook-online-game,3,tampering,A player modifies the game client on their own machine and sends manipulated gameplay actions that the servers accept.,T-01,Crafted client gameplay actions can corrupt match results if the server trusts them,"An attacker starts on their own uncontrolled machine and modifies `process:game-client` to inject crafted gameplay actions or state updates through `flow:process:game-client>process:game-server>gameplay-traffic` into the internet-facing `process:game-server`. The model does not establish authentication on that flow or server-side authoritative validation of those client-originated actions; if the server accepts attacker-shaped actions as legitimate, the attacker can alter match outcomes. Second-order, `process:game-server` records those outcomes through `flow:process:game-server>store:stats-database>read-write-stats` and `flow:process:game-server>store:player-database>update-players`, corrupting match statistics, player progression, and results in the authoritative stores.",same,Both describe a modified client submitting manipulated gameplay actions that corrupt outcomes if the server accepts them.
25,06-cookbook-online-game,4,tampering,An attacker alters match statistics in the stats database to change rankings or rewards.,T-03,Unverified game-server database access may allow match-statistics tampering,"`flow:process:game-server>store:stats-database>read-write-stats` has `operations: read-write`, but its authentication is unknown. If that unknown resolves to absent, weak, or broadly shared authentication, an attacker with access to the stats-database interface can alter stored match statistics rather than submitting results through `process:game-server`. Second-order, game servers read and write this store during and after matches, so altered statistics can be treated as legitimate historical or current match data by the processes that record match outcomes.",same,Both describe direct alteration of stored match statistics that are subsequently treated as legitimate; the draft does not specifically name rankings or rewards.
26,06-cookbook-online-game,8,information-disclosure,"An attacker who reaches the player database reads player account data, whose protection at rest is unverified.",I-04,A storage-layer copy could expose all player records if encryption at rest is absent,"`store:player-database` holds PII and business-critical player-account data, but its `encryption_at_rest` and `data_classification` are unknown. If the unresolved encryption-at-rest setting means the store or its operational copies are unencrypted, an attacker who obtains storage-layer access to a disk, decommissioned volume, snapshot, or backup can read player records without using the application read paths. This is corpus-scale exposure: the same database is read by `process:lobby` and directly by `process:moderation-website`, so disclosed records can support targeting of players through those services. This claim is conditional on `encryption_at_rest` being verified as absent or inadequate; it does not assert that the database is unencrypted.",same,Both describe disclosure of player-account data from database storage if protection at rest is absent.
27,06-cookbook-online-game,12,denial-of-service,An attacker floods the exposed lobby until players can no longer be matched into games.,D-01,Flooding matchmaking exhausts the lobby and delays match placement,"An attacker starts from the player-controlled `boundary:player-local-machine` and opens or repeatedly drives TCP 1234 matchmaking connections on `flow:process:game-client>process:lobby>matchmaking` to `process:lobby`. The source states that this endpoint is exposed wherever players connect, while the flow's `authentication` is unknown; if authentication is absent or does not occur before connection and matchmaking work, cheap client requests can consume the lobby's finite connection, worker, and matchmaking capacity. Legitimate players cannot obtain assignments while the lobby is saturated. Second-order, the lobby cannot read accounts through `flow:process:lobby>store:player-database>read-players` or hand formed matches to `process:game-server` through `flow:process:lobby>process:game-server>hand-over-match`, delaying game admission beyond the directly targeted service.",same,Both describe flooding the lobby's finite capacity so legitimate players cannot obtain match assignments.
28,06-cookbook-online-game,13,denial-of-service,An attacker floods a game server's exposed port and disrupts a match in progress for every player in it.,D-03,Gameplay flood can starve the shared player database and halt account-dependent services,"An attacker first drives excessive gameplay traffic across `flow:process:game-client>process:game-server>gameplay-traffic` from the player-controlled zone. If the flow's unknown authentication state permits ineffective admission control, each induced match action or session can cause `process:game-server` to write player progression and match results through `flow:process:game-server>store:player-database>update-players`. This turns externally supplied game load into database write throughput, connection capacity, and storage/quota consumption at the shared `store:player-database`. Second-order, exhaustion or severe contention at that store prevents `process:lobby` from reading players for matchmaking, prevents `process:game-server` from persisting outcomes, and prevents `process:moderation-website` from reading or acting on player accounts through `flow:process:moderation-website>store:player-database>read-write-players`.",different,"The reference concerns disrupting an ongoing match by flooding its game server; the draft concerns downstream player-database exhaustion and failures of account-dependent services, without stating loss of live gameplay."
29,07-cicd-store-deploy,0,spoofing,An attacker holding the shared build token calls the deploy controller as if it were the build runner and names an image sha of their own choosing as the current release.,S-01,Shared build token lets a token holder act as the build runner,"An attacker who obtains the shared build token can present it on `flow:process:build-runner>process:deploy-controller>set-current-release` and act as `process:build-runner` to `process:deploy-controller`, selecting a release as though it came from a legitimate pipeline. The token is shared by every pipeline and has never been rotated, so compromise of any holder remains useful and cannot be attributed to one pipeline. Second-order, `process:store-server` polls the controller and the model represents about 1,200 store servers; a forged current-release value therefore reaches the estate's deployment path rather than only the controller.",same,Both describe presenting the shared build token as the build runner to select an attacker-chosen current release.
30,07-cicd-store-deploy,6,tampering,"An attacker replaces the image stored under a commit-sha tag in the registry, so store servers pull attacker content while the recorded release is unchanged.",T-04,Unverified registry push authorization may allow malicious release images,"`flow:process:build-runner>store:image-registry>push-image` writes built container images to `store:image-registry`, but the flow's `authentication` is unknown. If the unverified registry write control does not restrict image publication to the authorized build identity, an attacker with access to its write interface can plant or replace an image under a release tag. When `process:deploy-controller` identifies that tag as current, `process:store-server` consumes the modified image through `flow:process:store-server>store:image-registry>pull-image` and restarts its till container. This threat is conditional on the unknown write authentication; it does not assert that the registry accepts anonymous pushes.",same,"The replacement branch describes changing image content under the release tag that servers pull, without requiring a change to the controller's selected tag. Actual tag replaceability remains a prerequisite to verify."
31,07-cicd-store-deploy,11,repudiation,"The deploy controller cannot tell which pipeline set a release, because every pipeline presents the same shared build token.",R-01,Shared build token prevents attribution of a release change to a pipeline,"A person operating one pipeline, or an actor who obtains its build credential, can set a release through `flow:process:build-runner>process:deploy-controller>set-current-release` on `process:deploy-controller` and later deny having done so. The authentication value is a shared build token used by every pipeline, so any controller record that identifies the presenting credential can narrow the action only to the population of pipelines, not to the pipeline or responsible actor that selected the image SHA. This is an accountability gap rather than a claim that the actor obtained the token. Second-order: `process:deploy-controller` supplies the selected release to `process:store-server` through `flow:process:store-server>process:deploy-controller>poll-current-release`; an unattributable release decision can therefore affect the whole store estate.",same,Both describe the shared build token preventing credential-backed attribution of a release change to an individual pipeline.
32,08-sso-identity-broker,2,spoofing,"An attacker who obtains a colleague's token acts as that colleague for the rest of its twelve hours, because nothing calls back to the broker and there is no way to pull a token back.",S-02,A stolen live token can be used as a colleague at the store admin console,"An attacker who obtains a still-valid colleague token can present it on `flow:entity:colleague>process:store-admin-console>change-prices-and-void` and act as `entity:colleague` at `process:store-admin-console`, because the console accepts the token alone and does not call back to the broker for current authorization. Tokens remain valid for twelve hours and cannot be withdrawn before expiry, extending the window in which the attacker can use the credential. Second-order, the impersonated session can change prices and void transactions; a store-manager token works against every store, increasing the financial and operational blast radius. The likelihood is conditional on the unverified in-transit protection of this externally originating flow; the model does not establish how a token would be obtained.",same,Both describe using a stolen colleague token until expiry because the console performs no callback and tokens cannot be revoked. Token theft need not depend on transport interception.
33,08-sso-identity-broker,4,tampering,An attacker writes a group into the broker's directory and the next token issued to that colleague carries it into every application.,T-02,Unverified directory write path could allow forged group membership,"`flow:process:identity-broker>store:directory>read-write-directory` has `authentication: unknown` despite writing colleague records and group memberships to `store:directory`. If that unknown resolves to absent or ineffective caller authentication, an attacker with access to the directory endpoint can alter group memberships through this write path, including assigning a privileged group to a chosen colleague. Second-order, `process:identity-broker` reads the directory during sign-in and issues tokens carrying the group list; `process:store-admin-console` then uses the group to authorize price changes and transaction voids. This is conditional on the unverified authentication attribute, not an assertion that directory-write authentication is absent.",same,Both describe modifying directory groups that the broker then includes in tokens used for application authorization.
34,08-sso-identity-broker,8,repudiation,"A franchise sign-in cannot be attributed to a person, because the identity was asserted by a provider we do not run and whether the log covers that route at all is unverified.",R-02,Franchise sign-ins may be deniable because audit-log coverage of the federation route is unknown,"`entity:franchise-identity-provider` crosses from the franchise-partner boundary to `process:identity-broker` over `flow:entity:franchise-identity-provider>process:identity-broker>vouch-for-colleague`, where its assertion is accepted as a sign-in. The source explicitly leaves unknown whether `store:audit-log` covers that route and what sign-in records contain. If the log does not retain the asserting provider, asserted franchise identity, assertion identifier or signed assertion evidence, the franchise provider can dispute having vouched for a particular colleague and the operator cannot rebut the denial. The accountability gap begins at the broker and can extend to applications that accept the resulting broker-issued token. This draft is conditional on the stated unknown audit coverage; it does not assert that franchise sign-ins are unlogged.",different,The reference concerns attributing a franchise sign-in to a person; the draft concerns proving that the franchise provider issued an assertion. Provider attribution alone does not establish which person signed in.
35,08-sso-identity-broker,10,information-disclosure,"An attacker who reaches the key store reads the signing key, if the store hands out the private half rather than only signing with it and protection at rest does not stop them; the source records neither.",I-05,An unencrypted key-store copy would expose the signing key for every application,"`store:key-store` holds the single signing key used by `process:identity-broker`, while its `encryption_at_rest` value is unknown. If that attribute resolves to storage without encryption, an attacker who obtains a disk, snapshot, backup, or decommissioned operational copy can read and recover the private signing key without using the broker's normal access path. The recovered key enables second-order forgery of tokens trusted by every application, including `process:store-admin-console`. This is conditional on the unknown at-rest control and does not claim that encryption is absent.",same,Both describe recovery of the private signing key from inadequately protected key storage. The draft must retain the reference's condition that recoverable private-key material is actually present.
36,08-sso-identity-broker,18,elevation-of-privilege,"A colleague who is a store manager in one store changes prices and voids transactions in every store, because the console decides from the group alone and never checks which store they belong to.",E-01,Any store manager can administer every store,"An authenticated colleague holding a legitimate store-manager token can act through `flow:entity:colleague>process:store-admin-console>change-prices-and-void` against `process:store-admin-console` to change prices or void transactions for stores beyond the colleague's own assignment. The console uses the group claim but does not bind the requested store to the verified colleague, so this is horizontal authorization escalation by a real store manager rather than impersonation. The authority reaches price and transaction operations across every store, affecting the `financial` and `business-critical-data` assets handled by the console.",same,Both describe a legitimate store manager administering other stores because authorization checks the group but not the manager's assigned store.
37,09-cookbook-sokify-retail,0,spoofing,"An attacker submits orders to the web API as if they came from the mobile app, since how the API authenticates callers is unverified.",S-01,Unverified API caller identity could let an attacker order as a customer,"`flow:process:mobile-app>process:web-api>api-traffic` crosses from the customer-device zone to `process:web-api` with `authentication: unknown`. If that unknown resolves to absent or inadequate caller verification, an attacker originating requests from a customer-controlled device can claim the identity of `entity:customer` to `process:web-api` and place orders as that customer. Second-order: placed orders are handed from `process:web-api` to `process:sims`, so the impersonation can initiate fulfilment and dispatch processing; this is conditional on the unverified authentication attribute, not an assertion that authentication is absent.",different,The reference concerns impersonating the mobile application; the draft concerns impersonating a customer. Application identity and customer identity are distinct authentication claims.
38,09-cookbook-sokify-retail,1,spoofing,"An attacker who obtains a copy of the catalogue spreadsheet sends SQL to the web API as the catalogue tool, if the file carries whatever the API accepts as that tool's identity; the source never says what that is.",S-03,Unverified spreadsheet identity could let a marketing-zone attacker submit catalogue SQL,"`flow:process:catalogue-spreadsheet>process:web-api>sql-statements` is a derived crossing from `process:catalogue-spreadsheet` in the marketing-office zone to `process:web-api`, and its `authentication` is unknown. If the Web API does not verify a distinct identity for the spreadsheet macros, an attacker with a foothold in the marketing-office zone can impersonate `process:catalogue-spreadsheet` and send SQL statements to change catalogue prices or product copy. This is conditional on the unstated authentication control and on the inferred endpoint zone placement; it does not assert that the API currently accepts unauthenticated SQL.",different,The reference relies on a copied spreadsheet carrying the tool's accepted identity; the draft relies on absent tool-identity verification and a network foothold. It does not describe reuse of identity material from the copied file.
